ParticipantID,ColorID,LightingTemperature,LightingIntensity,CentroidUB_HSV,CentroidLB_HSV
17,1,4000K,Normal,[0.67770060;1.0;1.0],[0.65246453;1.0;1.0]
17,3,4000K,Normal,[0.37785447;1.0;1.0],[0.28279130;1.0;1.0]
17,2,4000K,Normal,[0.01783000;1.0;1.0],[0.97146434;1.0;1.0]
18,1,4000K,Low,[0.70083025;1.0;1.0],[0.65290531;1.0;1.0]
18,2,4000K,Low,[0.00861774;1.0;1.0],[0.97562353;1.0;1.0]
18,3,4000K,Low,[0.37324111;1.0;1.0],[0.26610827;1.0;1.0]
18,1,7000K,Normal,[0.69209554;1.0;1.0],[0.64195859;1.0;1.0]
18,2,7000K,Normal,[0.01411779;1.0;1.0],[0.98706002;1.0;1.0]
18,3,7000K,Normal,[0.35660059;1.0;1.0],[0.24996447;1.0;1.0]
18,2,7000K,High,[0.01802684;1.0;1.0],[0.98050330;1.0;1.0]
18,1,7000K,High,[0.70358877;1.0;1.0],[0.63824014;1.0;1.0]
18,3,7000K,High,[0.36968197;1.0;1.0],[0.24298840;1.0;1.0]
18,3,7000K,Low,[0.35575937;1.0;1.0],[0.24662317;1.0;1.0]
18,1,7000K,Low,[0.69594568;1.0;1.0],[0.64081712;1.0;1.0]
18,2,7000K,Low,[0.01783499;1.0;1.0],[0.98596583;1.0;1.0]
18,1,10000K,Normal,[0.70459004;1.0;1.0],[0.64487963;1.0;1.0]
18,2,10000K,Normal,[0.01092815;1.0;1.0],[0.98479288;1.0;1.0]
18,3,10000K,Normal,[0.34653119;1.0;1.0],[0.24789898;1.0;1.0]
18,1,10000K,High,[0.70334268;1.0;1.0],[0.65033842;1.0;1.0]
18,3,10000K,High,[0.34295647;1.0;1.0],[0.24888564;1.0;1.0]
18,2,10000K,High,[0.01302854;1.0;1.0],[0.99387793;1.0;1.0]
18,1,10000K,Low,[0.70793281;1.0;1.0],[0.64490977;1.0;1.0]
18,2,10000K,Low,[0.01749948;1.0;1.0],[0.98074073;1.0;1.0]
18,3,10000K,Low,[0.34725772;1.0;1.0],[0.24313997;1.0;1.0]
18,1,4000K,Normal,[0.68543126;1.0;1.0],[0.64095558;1.0;1.0]
18,2,4000K,Normal,[0.03007046;1.0;1.0],[0.96365726;1.0;1.0]
18,3,4000K,Normal,[0.37481480;1.0;1.0],[0.27620149;1.0;1.0]
18,3,4000K,High,[0.36496535;1.0;1.0],[0.28397274;1.0;1.0]
18,2,4000K,High,[0.01275966;1.0;1.0],[0.98058919;1.0;1.0]
18,1,4000K,High,[0.67978501;1.0;1.0],[0.65282167;1.0;1.0]
2,3,7000K,High,[0.36000000;1.0;1.0],[0.25956570;1.0;1.0]
2,2,7000K,High,[0.02576514;1.0;1.0],[0.98676892;1.0;1.0]
2,1,7000K,High,[0.69618596;1.0;1.0],[0.64678120;1.0;1.0]
2,3,7000K,Low,[0.35739337;1.0;1.0],[0.27343740;1.0;1.0]
2,1,7000K,Low,[0.68387991;1.0;1.0],[0.65239177;1.0;1.0]
2,2,7000K,Low,[0.02317336;1.0;1.0],[0.97645696;1.0;1.0]
2,3,10000K,Normal,[0.37376998;1.0;1.0],[0.26071125;1.0;1.0]
2,2,10000K,Normal,[0.02899269;1.0;1.0],[0.98390389;1.0;1.0]
2,1,10000K,Normal,[0.73185200;1.0;1.0],[0.61458288;1.0;1.0]
2,2,10000K,High,[0.00806988;1.0;1.0],[0.98741330;1.0;1.0]
2,3,10000K,High,[0.36802098;1.0;1.0],[0.24888893;1.0;1.0]
2,1,10000K,High,[0.72684971;1.0;1.0],[0.61481483;1.0;1.0]
2,2,10000K,Low,[0.01663378;1.0;1.0],[0.98723480;1.0;1.0]
2,3,10000K,Low,[0.34073372;1.0;1.0],[0.24338648;1.0;1.0]
2,1,10000K,Low,[0.72654363;1.0;1.0],[0.62147832;1.0;1.0]
2,2,4000K,Normal,[0.01958584;1.0;1.0],[0.96000020;1.0;1.0]
2,1,4000K,Normal,[0.70120510;1.0;1.0],[0.65374054;1.0;1.0]
2,3,4000K,Normal,[0.36669098;1.0;1.0],[0.27596616;1.0;1.0]
2,3,4000K,High,[0.36385465;1.0;1.0],[0.28370383;1.0;1.0]
2,2,4000K,High,[0.04034696;1.0;1.0],[0.97581424;1.0;1.0]
2,1,4000K,High,[0.69629660;1.0;1.0],[0.63809314;1.0;1.0]
2,3,4000K,Low,[0.37247274;1.0;1.0],[0.30825496;1.0;1.0]
2,2,4000K,Low,[0.02754031;1.0;1.0],[0.97875807;1.0;1.0]
2,1,4000K,Low,[0.70549698;1.0;1.0],[0.63353336;1.0;1.0]
2,2,7000K,Normal,[0.03280650;1.0;1.0],[0.98296293;1.0;1.0]
2,3,7000K,Normal,[0.38066547;1.0;1.0],[0.24327535;1.0;1.0]
2,1,7000K,Normal,[0.71481507;1.0;1.0],[0.62096285;1.0;1.0]
3,1,7000K,Low,[0.70704224;1.0;1.0],[0.60705928;1.0;1.0]
3,2,7000K,Low,[0.02173120;1.0;1.0],[0.98036303;1.0;1.0]
3,3,7000K,Low,[0.35830627;1.0;1.0],[0.27807427;1.0;1.0]
3,3,10000K,Normal,[0.35786994;1.0;1.0],[0.24984193;1.0;1.0]
3,2,10000K,Normal,[0.00945429;1.0;1.0],[0.99368741;1.0;1.0]
3,1,10000K,Normal,[0.72459632;1.0;1.0],[0.63572760;1.0;1.0]
3,2,10000K,High,[0.05020324;1.0;1.0],[0.98666653;1.0;1.0]
3,3,10000K,High,[0.36453355;1.0;1.0],[0.24037550;1.0;1.0]
3,1,10000K,High,[0.69585339;1.0;1.0],[0.65280181;1.0;1.0]
3,2,10000K,Low,[0.00378951;1.0;1.0],[0.99044009;1.0;1.0]
3,1,10000K,Low,[0.69801175;1.0;1.0],[0.65407079;1.0;1.0]
3,3,10000K,Low,[0.35616006;1.0;1.0],[0.30436544;1.0;1.0]
3,3,4000K,Normal,[0.35639995;1.0;1.0],[0.29560090;1.0;1.0]
3,1,4000K,Normal,[0.69458990;1.0;1.0],[0.65927814;1.0;1.0]
3,2,4000K,Normal,[0.01745101;1.0;1.0],[0.98165734;1.0;1.0]
3,3,4000K,High,[0.38578339;1.0;1.0],[0.27085921;1.0;1.0]
3,1,4000K,High,[0.68335949;1.0;1.0],[0.62096770;1.0;1.0]
3,2,4000K,High,[0.01532133;1.0;1.0],[0.98423190;1.0;1.0]
3,2,4000K,Low,[0.01736585;1.0;1.0],[0.98353979;1.0;1.0]
3,3,4000K,Low,[0.36599931;1.0;1.0],[0.28692792;1.0;1.0]
3,1,4000K,Low,[0.68812252;1.0;1.0],[0.63928744;1.0;1.0]
3,3,7000K,Normal,[0.36119258;1.0;1.0],[0.26380596;1.0;1.0]
3,2,7000K,Normal,[0.02710265;1.0;1.0],[0.97873704;1.0;1.0]
3,1,7000K,Normal,[0.71124196;1.0;1.0],[0.63875863;1.0;1.0]
3,3,7000K,High,[0.35650717;1.0;1.0],[0.27417443;1.0;1.0]
3,1,7000K,High,[0.70962993;1.0;1.0],[0.63003755;1.0;1.0]
3,2,7000K,High,[0.01332364;1.0;1.0],[0.99322169;1.0;1.0]
4,3,10000K,Normal,[0.34411291;1.0;1.0],[0.25136266;1.0;1.0]
4,1,10000K,Normal,[0.70401582;1.0;1.0],[0.64941045;1.0;1.0]
4,2,10000K,Normal,[0.00962946;1.0;1.0],[0.97867687;1.0;1.0]
4,1,10000K,High,[0.69963201;1.0;1.0],[0.64639357;1.0;1.0]
4,2,10000K,High,[0.00558127;1.0;1.0],[0.98820077;1.0;1.0]
4,3,10000K,High,[0.33763186;1.0;1.0],[0.26331083;1.0;1.0]
4,3,10000K,Low,[0.34101916;1.0;1.0],[0.26294197;1.0;1.0]
4,1,10000K,Low,[0.69603892;1.0;1.0],[0.65707638;1.0;1.0]
4,2,10000K,Low,[0.00681002;1.0;1.0],[0.97163881;1.0;1.0]
4,2,4000K,Normal,[0.02790912;1.0;1.0],[0.98345939;1.0;1.0]
4,3,4000K,Normal,[0.35891998;1.0;1.0],[0.29243543;1.0;1.0]
4,1,4000K,Normal,[0.67964769;1.0;1.0],[0.64594607;1.0;1.0]
4,3,4000K,High,[0.36611950;1.0;1.0],[0.30153787;1.0;1.0]
4,2,4000K,High,[0.01455639;1.0;1.0],[0.97502598;1.0;1.0]
4,1,4000K,High,[0.67500396;1.0;1.0],[0.65360592;1.0;1.0]
4,2,4000K,Low,[0.01464400;1.0;1.0],[0.97681947;1.0;1.0]
4,3,4000K,Low,[0.35610496;1.0;1.0],[0.31114403;1.0;1.0]
4,1,4000K,Low,[0.67855713;1.0;1.0],[0.66269577;1.0;1.0]
4,1,7000K,Normal,[0.68003232;1.0;1.0],[0.64626574;1.0;1.0]
4,2,7000K,Normal,[0.00823117;1.0;1.0],[0.97838904;1.0;1.0]
4,3,7000K,Normal,[0.36127772;1.0;1.0],[0.27236533;1.0;1.0]
4,3,7000K,High,[0.34376055;1.0;1.0],[0.25740936;1.0;1.0]
4,1,7000K,High,[0.68804559;1.0;1.0],[0.64670747;1.0;1.0]
4,2,7000K,High,[0.00527902;1.0;1.0],[0.97508088;1.0;1.0]
4,1,7000K,Low,[0.70405072;1.0;1.0],[0.63719977;1.0;1.0]
4,2,7000K,Low,[0.00721048;1.0;1.0],[0.97309079;1.0;1.0]
4,3,7000K,Low,[0.34278662;1.0;1.0],[0.26429743;1.0;1.0]
5,3,10000K,High,[0.35038466;1.0;1.0],[0.26812321;1.0;1.0]
5,2,10000K,High,[0.01104375;1.0;1.0],[0.98392840;1.0;1.0]
5,1,10000K,High,[0.71740353;1.0;1.0],[0.64502994;1.0;1.0]
5,3,10000K,Low,[0.35270842;1.0;1.0],[0.27073586;1.0;1.0]
5,1,10000K,Low,[0.71162881;1.0;1.0],[0.63426875;1.0;1.0]
5,2,10000K,Low,[0.01792698;1.0;1.0],[0.99225707;1.0;1.0]
5,1,4000K,Normal,[0.67336520;1.0;1.0],[0.64670730;1.0;1.0]
5,2,4000K,Normal,[0.01555441;1.0;1.0],[0.97908159;1.0;1.0]
5,3,4000K,Normal,[0.35832681;1.0;1.0],[0.30171178;1.0;1.0]
5,1,4000K,High,[0.66958132;1.0;1.0],[0.64615616;1.0;1.0]
5,3,4000K,High,[0.36822156;1.0;1.0],[0.28592607;1.0;1.0]
5,2,4000K,High,[0.02096464;1.0;1.0],[0.99516743;1.0;1.0]
5,1,4000K,Low,[0.68837675;1.0;1.0],[0.66024469;1.0;1.0]
5,2,4000K,Low,[0.00886469;1.0;1.0],[0.98912382;1.0;1.0]
5,3,4000K,Low,[0.36089553;1.0;1.0],[0.28512159;1.0;1.0]
5,2,7000K,Normal,[0.02023609;1.0;1.0],[0.98947289;1.0;1.0]
5,1,7000K,Normal,[0.69129188;1.0;1.0],[0.64678752;1.0;1.0]
5,3,7000K,Normal,[0.33763186;1.0;1.0],[0.25820477;1.0;1.0]
5,1,7000K,High,[0.68559968;1.0;1.0],[0.65187811;1.0;1.0]
5,3,7000K,High,[0.35421999;1.0;1.0],[0.26343498;1.0;1.0]
5,2,7000K,High,[0.02225076;1.0;1.0],[0.98612858;1.0;1.0]
5,3,7000K,Low,[0.34694162;1.0;1.0],[0.25447480;1.0;1.0]
5,1,7000K,Low,[0.68307166;1.0;1.0],[0.63232570;1.0;1.0]
5,2,7000K,Low,[0.02681310;1.0;1.0],[0.98471402;1.0;1.0]
5,2,10000K,Normal,[0.02579614;1.0;1.0],[0.99394615;1.0;1.0]
5,3,10000K,Normal,[0.34528106;1.0;1.0],[0.25204874;1.0;1.0]
5,1,10000K,Normal,[0.71207657;1.0;1.0],[0.64632609;1.0;1.0]
6,1,10000K,Low,[0.74385445;1.0;1.0],[0.61692235;1.0;1.0]
6,2,10000K,Low,[0.02496179;1.0;1.0],[0.98501792;1.0;1.0]
6,3,10000K,Low,[0.37140718;1.0;1.0],[0.24383335;1.0;1.0]
6,1,4000K,Normal,[0.70556230;1.0;1.0],[0.62521202;1.0;1.0]
6,2,4000K,Normal,[0.01667833;1.0;1.0],[0.96881757;1.0;1.0]
6,3,4000K,Normal,[0.40469401;1.0;1.0],[0.26869730;1.0;1.0]
6,2,4000K,High,[0.01443839;1.0;1.0],[0.98045062;1.0;1.0]
6,1,4000K,High,[0.70401672;1.0;1.0],[0.63184565;1.0;1.0]
6,3,4000K,High,[0.39329888;1.0;1.0],[0.26680339;1.0;1.0]
6,3,4000K,Low,[0.38480500;1.0;1.0],[0.26162334;1.0;1.0]
6,2,4000K,Low,[0.02583559;1.0;1.0],[0.97398591;1.0;1.0]
6,1,4000K,Low,[0.70203997;1.0;1.0],[0.63559700;1.0;1.0]
6,1,7000K,Normal,[0.72493606;1.0;1.0],[0.62416357;1.0;1.0]
6,2,7000K,Normal,[0.01458375;1.0;1.0],[0.98370370;1.0;1.0]
6,3,7000K,Normal,[0.37031725;1.0;1.0],[0.25077930;1.0;1.0]
6,1,7000K,High,[0.71975345;1.0;1.0],[0.60586263;1.0;1.0]
6,2,7000K,High,[0.02387111;1.0;1.0],[0.96888897;1.0;1.0]
6,3,7000K,High,[0.36956770;1.0;1.0],[0.24623740;1.0;1.0]
6,1,7000K,Low,[0.71185200;1.0;1.0],[0.61489552;1.0;1.0]
6,3,7000K,Low,[0.35550262;1.0;1.0],[0.24830119;1.0;1.0]
6,2,7000K,Low,[0.03087880;1.0;1.0],[0.96802410;1.0;1.0]
6,2,10000K,Normal,[0.02317335;1.0;1.0],[0.97888026;1.0;1.0]
6,3,10000K,Normal,[0.34914004;1.0;1.0],[0.24322130;1.0;1.0]
6,1,10000K,Normal,[0.73089764;1.0;1.0],[0.61634492;1.0;1.0]
6,2,10000K,High,[0.02274373;1.0;1.0],[0.98206060;1.0;1.0]
6,3,10000K,High,[0.36667593;1.0;1.0],[0.22446322;1.0;1.0]
6,1,10000K,High,[0.72466578;1.0;1.0],[0.61350687;1.0;1.0]
7,2,4000K,Normal,[0.02962948;1.0;1.0],[0.99459209;1.0;1.0]
7,3,4000K,Normal,[0.36887667;1.0;1.0],[0.27539423;1.0;1.0]
7,1,4000K,Normal,[0.67357886;1.0;1.0],[0.65241965;1.0;1.0]
7,1,4000K,High,[0.67229102;1.0;1.0],[0.65510552;1.0;1.0]
7,2,4000K,High,[0.00805622;1.0;1.0],[0.99220419;1.0;1.0]
7,3,4000K,High,[0.35057552;1.0;1.0],[0.28769627;1.0;1.0]
7,3,4000K,Low,[0.34065159;1.0;1.0],[0.30739366;1.0;1.0]
7,2,4000K,Low,[0.02906514;1.0;1.0],[0.98419018;1.0;1.0]
7,1,4000K,Low,[0.69233092;1.0;1.0],[0.64300920;1.0;1.0]
7,2,7000K,Normal,[0.00655624;1.0;1.0],[0.98285775;1.0;1.0]
7,1,7000K,Normal,[0.69539036;1.0;1.0],[0.64500481;1.0;1.0]
7,3,7000K,Normal,[0.35175485;1.0;1.0],[0.27726561;1.0;1.0]
7,2,7000K,High,[0.00642891;1.0;1.0],[0.98402702;1.0;1.0]
7,1,7000K,High,[0.70161769;1.0;1.0],[0.65260962;1.0;1.0]
7,3,7000K,High,[0.35066452;1.0;1.0],[0.28061901;1.0;1.0]
7,1,7000K,Low,[0.68692078;1.0;1.0],[0.64309731;1.0;1.0]
7,3,7000K,Low,[0.34817541;1.0;1.0],[0.26866773;1.0;1.0]
7,2,7000K,Low,[0.00999526;1.0;1.0],[0.97148348;1.0;1.0]
7,1,10000K,Normal,[0.70222121;1.0;1.0],[0.64869848;1.0;1.0]
7,2,10000K,Normal,[0.02281332;1.0;1.0],[0.99422537;1.0;1.0]
7,3,10000K,Normal,[0.34287989;1.0;1.0],[0.26500116;1.0;1.0]
7,1,10000K,High,[0.70066176;1.0;1.0],[0.63569087;1.0;1.0]
7,3,10000K,High,[0.35616350;1.0;1.0],[0.30728581;1.0;1.0]
7,2,10000K,High,[0.00942773;1.0;1.0],[0.99644405;1.0;1.0]
7,2,10000K,Low,[0.01730497;1.0;1.0],[0.98555000;1.0;1.0]
7,1,10000K,Low,[0.69754883;1.0;1.0],[0.64207310;1.0;1.0]
7,3,10000K,Low,[0.33622701;1.0;1.0],[0.29207084;1.0;1.0]
8,3,4000K,High,[0.37610840;1.0;1.0],[0.31073203;1.0;1.0]
8,1,4000K,High,[0.67235421;1.0;1.0],[0.65211691;1.0;1.0]
8,2,4000K,High,[0.01619260;1.0;1.0],[0.99154627;1.0;1.0]
8,3,4000K,Low,[0.34047914;1.0;1.0],[0.30235253;1.0;1.0]
8,2,4000K,Low,[0.00995333;1.0;1.0],[0.97940862;1.0;1.0]
8,1,4000K,Low,[0.70017381;1.0;1.0],[0.65157523;1.0;1.0]
8,2,7000K,Normal,[0.00939420;1.0;1.0],[0.99154637;1.0;1.0]
8,3,7000K,Normal,[0.34399036;1.0;1.0],[0.32004824;1.0;1.0]
8,1,7000K,Normal,[0.68648143;1.0;1.0],[0.65091954;1.0;1.0]
8,2,7000K,High,[0.01073048;1.0;1.0],[0.99236160;1.0;1.0]
8,3,7000K,High,[0.36324976;1.0;1.0],[0.31571946;1.0;1.0]
8,1,7000K,High,[0.67192088;1.0;1.0],[0.65262367;1.0;1.0]
8,1,7000K,Low,[0.67172016;1.0;1.0],[0.64915470;1.0;1.0]
8,3,7000K,Low,[0.35837634;1.0;1.0],[0.31358712;1.0;1.0]
8,2,7000K,Low,[0.00781058;1.0;1.0],[0.98283176;1.0;1.0]
8,1,10000K,Normal,[0.69038245;1.0;1.0],[0.64081699;1.0;1.0]
8,2,10000K,Normal,[0.01225431;1.0;1.0],[0.98718191;1.0;1.0]
8,3,10000K,Normal,[0.35279230;1.0;1.0],[0.30499823;1.0;1.0]
8,1,10000K,High,[0.68038388;1.0;1.0],[0.64930665;1.0;1.0]
8,3,10000K,High,[0.35151462;1.0;1.0],[0.30436540;1.0;1.0]
8,2,10000K,High,[0.01844071;1.0;1.0],[0.98470560;1.0;1.0]
8,2,10000K,Low,[0.01052583;1.0;1.0],[0.97433782;1.0;1.0]
8,3,10000K,Low,[0.35891994;1.0;1.0],[0.28539154;1.0;1.0]
8,1,10000K,Low,[0.68316851;1.0;1.0],[0.64339478;1.0;1.0]
8,3,4000K,Normal,[0.36627965;1.0;1.0],[0.31775402;1.0;1.0]
8,2,4000K,Normal,[0.01557870;1.0;1.0],[0.98139985;1.0;1.0]
8,1,4000K,Normal,[0.68112571;1.0;1.0],[0.64307464;1.0;1.0]
9,3,4000K,Low,[0.35328135;1.0;1.0],[0.30437461;1.0;1.0]
9,2,4000K,Low,[0.01577181;1.0;1.0],[0.97946900;1.0;1.0]
9,1,4000K,Low,[0.70081570;1.0;1.0],[0.64104257;1.0;1.0]
9,3,7000K,Normal,[0.35592841;1.0;1.0],[0.30722113;1.0;1.0]
9,2,7000K,Normal,[0.01667910;1.0;1.0],[0.97745627;1.0;1.0]
9,1,7000K,Normal,[0.68025322;1.0;1.0],[0.63878064;1.0;1.0]
9,1,7000K,High,[0.68324171;1.0;1.0],[0.65331803;1.0;1.0]
9,3,7000K,High,[0.35372075;1.0;1.0],[0.29391630;1.0;1.0]
9,2,7000K,High,[0.01270375;1.0;1.0],[0.98399217;1.0;1.0]
9,2,7000K,Low,[0.02191326;1.0;1.0],[0.98838048;1.0;1.0]
9,1,7000K,Low,[0.67792925;1.0;1.0],[0.64395538;1.0;1.0]
9,3,7000K,Low,[0.35180826;1.0;1.0],[0.29376233;1.0;1.0]
9,3,10000K,Normal,[0.37153725;1.0;1.0],[0.28535889;1.0;1.0]
9,1,10000K,Normal,[0.68971310;1.0;1.0],[0.64109070;1.0;1.0]
9,2,10000K,Normal,[0.01703218;1.0;1.0],[0.98731847;1.0;1.0]
9,2,10000K,High,[0.02866435;1.0;1.0],[0.98166701;1.0;1.0]
9,3,10000K,High,[0.35566403;1.0;1.0],[0.29795001;1.0;1.0]
9,1,10000K,High,[0.68807239;1.0;1.0],[0.63924874;1.0;1.0]
9,1,10000K,Low,[0.67185959;1.0;1.0],[0.62432307;1.0;1.0]
9,2,10000K,Low,[0.02222207;1.0;1.0],[0.98765233;1.0;1.0]
9,3,10000K,Low,[0.35923091;1.0;1.0],[0.28227564;1.0;1.0]
9,3,4000K,Normal,[0.36800197;1.0;1.0],[0.31935086;1.0;1.0]
9,2,4000K,Normal,[0.02699126;1.0;1.0],[0.97388217;1.0;1.0]
9,1,4000K,Normal,[0.67895921;1.0;1.0],[0.65602032;1.0;1.0]
9,2,4000K,High,[0.02464420;1.0;1.0],[0.97436452;1.0;1.0]
9,1,4000K,High,[0.67649186;1.0;1.0],[0.64171555;1.0;1.0]
9,3,4000K,High,[0.34414039;1.0;1.0],[0.30387123;1.0;1.0]
