ParticipantID,ColorID,LightingTemperature,LightingIntensity,IdealMatch,TextureRenderCentroidUB,TextureRenderCentroidLB
1,3,7000K,Normal,(0.33143670:0.74392040:0.60835960),(0.34064340:0.73545460:0.60835960),(0.27140730:0.74392040:0.60835960)
1,1,7000K,Normal,(0.66753790:0.75253250:0.64016730),(0.67080750:0.75253250:0.64016730),(0.66100820:0.74859890:0.64016730)
1,2,7000K,Normal,(0.00096963:0.74386480:0.60822740),(0.00266229:0.74386480:0.60822740),(0.99637160:0.73953720:0.60822740)
1,1,7000K,High,(0.66754940:0.73562130:0.77535190),(0.67796570:0.73562130:0.77535190),(0.63668070:0.73172480:0.77535190)
1,3,7000K,High,(0.33140340:0.72701480:0.73917930),(0.36847420:0.71859640:0.73917930),(0.27020150:0.72701480:0.73917930)
1,2,7000K,High,(0.00099043:0.72751490:0.74053590),(0.00469690:0.72751490:0.74053590),(0.99078330:0.72319160:0.74053590)
1,1,7000K,Low,(0.66748540:0.79975370:0.45122350),(0.67922260:0.79975370:0.45122350),(0.64161720:0.79582490:0.45122350)
1,2,7000K,Low,(0.00094315:0.78956430:0.42044790),(0.01050703:0.78956430:0.42044790),(0.99147800:0.78509620:0.42044790)
1,3,7000K,Low,(0.33151750:0.79114030:0.42362040),(0.34286340:0.78252080:0.42362040),(0.26550920:0.79114030:0.42362040)
1,1,10000K,Normal,(0.66287900:0.80235840:0.64016730),(0.68052740:0.78412400:0.64016730),(0.65653200:0.80235840:0.64016730)
1,2,10000K,Normal,(0.99219360:0.73102070:0.51378220),(0.99760740:0.70692960:0.51378220),(0.98477770:0.73102070:0.51378220)
1,3,10000K,Normal,(0.34478010:0.77104900:0.55262320),(0.36081250:0.77104900:0.55262320),(0.27340500:0.71809280:0.55262320)
1,1,10000K,High,(0.66279980:0.78543080:0.77535190),(0.67516730:0.76720790:0.77535190),(0.65584000:0.78543080:0.77535190)
1,3,10000K,High,(0.34506200:0.75156840:0.66966780),(0.35341230:0.75156840:0.66966780),(0.30213010:0.69867890:0.66966780)
1,2,10000K,High,(0.99198450:0.71035570:0.62316360),(0.00377150:0.67619260:0.62316360),(0.97143190:0.71035570:0.62316360)
1,1,10000K,Low,(0.66323870:0.84837980:0.45122350),(0.68953000:0.83093050:0.45122350),(0.64844470:0.84837980:0.45122350)
1,2,10000K,Low,(0.99286160:0.78860340:0.36087690),(0.00960433:0.75482700:0.36087690),(0.97276400:0.78860340:0.36087690)
1,3,10000K,Low,(0.34378060:0.82388950:0.38847540),(0.37938230:0.82388950:0.38847540),(0.26460910:0.77224480:0.38847540)
1,3,4000K,Normal,(0.30099010:0.84197260:0.52833680),(0.36979450:0.67858010:0.52833680),(0.24098070:0.84197260:0.52833680)
1,1,4000K,Normal,(0.68858720:0.70443380:0.43743180),(0.70280000:0.70443380:0.43743180),(0.65567520:0.61178420:0.43743180)
1,2,4000K,Normal,(0.01390361:0.86799530:0.63249030),(0.01798749:0.86799530:0.63249030),(0.99842860:0.79558560:0.63249030)
1,3,4000K,High,(0.29999980:0.82279600:0.63937660),(0.34688700:0.65823600:0.63937660),(0.23918070:0.82279600:0.63937660)
1,2,4000K,High,(0.01431303:0.85298870:0.77068950),(0.03084430:0.85298870:0.77068950),(0.00154195:0.78701680:0.77068950)
1,1,4000K,High,(0.68988270:0.67342420:0.51980440),(0.70048330:0.67342420:0.51980440),(0.66287600:0.57961890:0.51980440)
1,3,4000K,Low,(0.30401670:0.89559450:0.37348010),(0.34289300:0.73805990:0.37348010),(0.23235820:0.89559450:0.37348010)
1,1,4000K,Low,(0.68437110:0.78605150:0.32889570),(0.69274000:0.78605150:0.32889570),(0.66028820:0.70255200:0.32889570)
1,2,4000K,Low,(0.01315668:0.91065310:0.43642620),(0.02155874:0.91065310:0.43642620),(0.99852910:0.83876600:0.43642620)
10,1,7000K,Normal,(0.66753790:0.75253250:0.64016730),(0.66942450:0.75253250:0.64016730),(0.66449670:0.74859890:0.64016730)
10,3,7000K,Normal,(0.33143670:0.74392040:0.60835960),(0.33908140:0.73545460:0.60835960),(0.31485570:0.74392040:0.60835960)
10,2,7000K,Normal,(0.00096963:0.74386480:0.60822740),(0.00649904:0.74386480:0.60822740),(0.99443910:0.73953720:0.60822740)
10,2,7000K,High,(0.00099043:0.72751490:0.74053590),(0.00662804:0.72751490:0.74053590),(0.99610530:0.72319160:0.74053590)
10,1,7000K,High,(0.66754940:0.73562130:0.77535190),(0.67321600:0.73562130:0.77535190),(0.65406030:0.73172480:0.77535190)
10,3,7000K,High,(0.33140340:0.72701480:0.73917930),(0.33517610:0.71859640:0.73917930),(0.30617290:0.72701480:0.73917930)
10,2,7000K,Low,(0.00094315:0.78956430:0.42044790),(0.00534886:0.78956430:0.42044790),(0.99447970:0.78509620:0.42044790)
10,3,7000K,Low,(0.33151750:0.79114030:0.42362040),(0.34683250:0.78252080:0.42362040),(0.30499660:0.79114030:0.42362040)
10,1,7000K,Low,(0.66748540:0.79975370:0.45122350),(0.67365530:0.79975370:0.45122350),(0.65558280:0.79582490:0.45122350)
10,3,10000K,Normal,(0.34478010:0.77104900:0.55262320),(0.34821850:0.77104900:0.55262320),(0.33266340:0.71809280:0.55262320)
10,1,10000K,Normal,(0.66287900:0.80235840:0.64016730),(0.66783240:0.78412400:0.64016730),(0.65373030:0.80235840:0.64016730)
10,2,10000K,Normal,(0.99219360:0.73102070:0.51378220),(0.99557010:0.71580710:0.51378220),(0.98956350:0.73102070:0.51378220)
10,3,10000K,High,(0.34506200:0.75156840:0.66966780),(0.35092130:0.75156840:0.66966780),(0.30843640:0.69867890:0.66966780)
10,1,10000K,High,(0.66279980:0.78543080:0.77535190),(0.67166520:0.76720790:0.77535190),(0.65527330:0.78543080:0.77535190)
10,2,10000K,High,(0.99198450:0.71035570:0.62316360),(0.99625650:0.69172930:0.62316360),(0.98541240:0.71035570:0.62316360)
10,3,10000K,Low,(0.34378060:0.82388950:0.38847540),(0.35507920:0.82388950:0.38847540),(0.31088520:0.77224480:0.38847540)
10,2,10000K,Low,(0.99286160:0.78860340:0.36087690),(0.00050764:0.75482700:0.36087690),(0.98921170:0.78860340:0.36087690)
10,1,10000K,Low,(0.66323870:0.84837980:0.45122350),(0.66745690:0.83093050:0.45122350),(0.65456380:0.84837980:0.45122350)
10,3,4000K,Normal,(0.30099010:0.84197260:0.52833680),(0.32557070:0.71172960:0.52833680),(0.29151590:0.84197260:0.52833680)
10,1,4000K,Normal,(0.68858720:0.70443380:0.43743180),(0.69093150:0.70443380:0.43743180),(0.67179110:0.63119120:0.43743180)
10,2,4000K,Normal,(0.01390361:0.86799530:0.63249030),(0.02015848:0.86799530:0.63249030),(0.00815104:0.83649550:0.63249030)
10,3,4000K,High,(0.29999980:0.82279600:0.63937660),(0.30923410:0.76950290:0.63937660),(0.29071330:0.82279600:0.63937660)
10,1,4000K,High,(0.68988270:0.67342420:0.51980440),(0.69911300:0.67342420:0.51980440),(0.68508880:0.65164730:0.51980440)
10,2,4000K,High,(0.01431303:0.85298870:0.77068950),(0.02464999:0.85298870:0.77068950),(0.00473989:0.80255980:0.77068950)
10,3,4000K,Low,(0.30401670:0.89559450:0.37348010),(0.32085380:0.79779650:0.37348010),(0.29855970:0.89559450:0.37348010)
10,2,4000K,Low,(0.01315668:0.91065310:0.43642620),(0.02075036:0.91065310:0.43642620),(0.99453380:0.83876600:0.43642620)
10,1,4000K,Low,(0.68437110:0.78605150:0.32889570),(0.68726690:0.78605150:0.32889570),(0.67082890:0.72054650:0.32889570)
11,2,7000K,High,(0.00099043:0.72751490:0.74053590),(0.00682074:0.72751490:0.74053590),(0.99260150:0.72319160:0.74053590)
11,1,7000K,High,(0.66754940:0.73562130:0.77535190),(0.67792340:0.73562130:0.77535190),(0.66077890:0.73172480:0.77535190)
11,3,7000K,High,(0.33140340:0.72701480:0.73917930),(0.33544260:0.71859640:0.73917930),(0.28781230:0.72701480:0.73917930)
11,3,7000K,Low,(0.33151750:0.79114030:0.42362040),(0.34254860:0.78252080:0.42362040),(0.27698780:0.79114030:0.42362040)
11,1,7000K,Low,(0.66748540:0.79975370:0.45122350),(0.67194300:0.79975370:0.45122350),(0.66425470:0.79582490:0.45122350)
11,2,7000K,Low,(0.00094315:0.78956430:0.42044790),(0.00968509:0.78956430:0.42044790),(0.99901310:0.78509620:0.42044790)
11,2,10000K,Normal,(0.99219360:0.73102070:0.51378220),(0.99499410:0.71835720:0.51378220),(0.97555700:0.73102070:0.51378220)
11,1,10000K,Normal,(0.66287900:0.80235840:0.64016730),(0.67828510:0.78412400:0.64016730),(0.65210800:0.80235840:0.64016730)
11,3,10000K,Normal,(0.34478010:0.77104900:0.55262320),(0.35050420:0.77104900:0.55262320),(0.27768450:0.71809280:0.55262320)
11,2,10000K,High,(0.99198450:0.71035570:0.62316360),(0.99474360:0.69821330:0.62316360),(0.98959640:0.71035570:0.62316360)
11,3,10000K,High,(0.34506200:0.75156840:0.66966780),(0.34594080:0.75156840:0.66966780),(0.29756480:0.69867890:0.66966780)
11,1,10000K,High,(0.66279980:0.78543080:0.77535190),(0.67412350:0.76720790:0.77535190),(0.65988390:0.78543080:0.77535190)
11,1,10000K,Low,(0.66323870:0.84837980:0.45122350),(0.67681820:0.83093050:0.45122350),(0.65691070:0.84837980:0.45122350)
11,2,10000K,Low,(0.99286160:0.78860340:0.36087690),(0.99777620:0.76503470:0.36087690),(0.98463500:0.78860340:0.36087690)
11,3,10000K,Low,(0.34378060:0.82388950:0.38847540),(0.36058170:0.82388950:0.38847540),(0.28176210:0.77224480:0.38847540)
11,1,4000K,Normal,(0.68858720:0.70443380:0.43743180),(0.69146780:0.70443380:0.43743180),(0.68727730:0.69811610:0.43743180)
11,3,4000K,Normal,(0.30099010:0.84197260:0.52833680),(0.30369130:0.82537470:0.52833680),(0.28148430:0.84197260:0.52833680)
11,2,4000K,Normal,(0.01390361:0.86799530:0.63249030),(0.01580288:0.86799530:0.63249030),(0.01246754:0.85991150:0.63249030)
11,1,4000K,High,(0.68988270:0.67342420:0.51980440),(0.70392500:0.67342420:0.51980440),(0.68708010:0.66052010:0.51980440)
11,3,4000K,High,(0.29999980:0.82279600:0.63937660),(0.30744300:0.77929310:0.63937660),(0.28142290:0.82279600:0.63937660)
11,2,4000K,High,(0.01431303:0.85298870:0.77068950),(0.01649509:0.85298870:0.77068950),(0.01120890:0.83595650:0.77068950)
11,3,4000K,Low,(0.30401670:0.89559450:0.37348010),(0.31621750:0.82252990:0.37348010),(0.26866000:0.89559450:0.37348010)
11,2,4000K,Low,(0.01315668:0.91065310:0.43642620),(0.02038275:0.91065310:0.43642620),(0.00582945:0.86916660:0.43642620)
11,1,4000K,Low,(0.68437110:0.78605150:0.32889570),(0.69536950:0.78605150:0.32889570),(0.67643840:0.74630850:0.32889570)
11,2,7000K,Normal,(0.00096963:0.74386480:0.60822740),(0.00275174:0.74386480:0.60822740),(0.99391970:0.73953720:0.60822740)
11,3,7000K,Normal,(0.33143670:0.74392040:0.60835960),(0.33326380:0.73576180:0.60835960),(0.30464180:0.74392040:0.60835960)
11,1,7000K,Normal,(0.66753790:0.75253250:0.64016730),(0.67638080:0.75253250:0.64016730),(0.66435780:0.74859890:0.64016730)
12,2,7000K,Low,(0.00094315:0.78956430:0.42044790),(0.01182837:0.78956430:0.42044790),(0.99700570:0.78509620:0.42044790)
12,3,7000K,Low,(0.33151750:0.79114030:0.42362040),(0.33321400:0.78308150:0.42362040),(0.28253070:0.79114030:0.42362040)
12,1,7000K,Low,(0.66748540:0.79975370:0.45122350),(0.67527910:0.79975370:0.45122350),(0.66069870:0.79582490:0.45122350)
12,2,10000K,Normal,(0.99219360:0.73102070:0.51378220),(0.99408620:0.72241450:0.51378220),(0.98789970:0.73102070:0.51378220)
12,1,10000K,Normal,(0.66287900:0.80235840:0.64016730),(0.67022260:0.78412400:0.64016730),(0.65916190:0.80235840:0.64016730)
12,3,10000K,Normal,(0.34478010:0.77104900:0.55262320),(0.34972660:0.77104900:0.55262320),(0.30887880:0.71809280:0.55262320)
12,3,10000K,High,(0.34506200:0.75156840:0.66966780),(0.34718620:0.75156840:0.66966780),(0.30197620:0.69867890:0.66966780)
12,2,10000K,High,(0.99198450:0.71035570:0.62316360),(0.00517716:0.67619260:0.62316360),(0.98635420:0.71035570:0.62316360)
12,1,10000K,High,(0.66279980:0.78543080:0.77535190),(0.67106960:0.76720790:0.77535190),(0.65927120:0.78543080:0.77535190)
12,1,10000K,Low,(0.66323870:0.84837980:0.45122350),(0.67813560:0.83093050:0.45122350),(0.66136290:0.84837980:0.45122350)
12,2,10000K,Low,(0.99286160:0.78860340:0.36087690),(0.99872180:0.76066050:0.36087690),(0.99215050:0.78860340:0.36087690)
12,3,10000K,Low,(0.34378060:0.82388950:0.38847540),(0.35089000:0.82388950:0.38847540),(0.28780100:0.77224480:0.38847540)
12,2,4000K,Normal,(0.01390361:0.86799530:0.63249030),(0.01610296:0.86799530:0.63249030),(0.01188569:0.85667900:0.63249030)
12,1,4000K,Normal,(0.68858720:0.70443380:0.43743180),(0.71545670:0.70443380:0.43743180),(0.68491760:0.68701640:0.43743180)
12,3,4000K,Normal,(0.30099010:0.84197260:0.52833680),(0.30320950:0.82828700:0.52833680),(0.23903600:0.84197260:0.52833680)
12,2,4000K,High,(0.01431303:0.85298870:0.77068950),(0.01660989:0.85298870:0.77068950),(0.01175986:0.83892970:0.77068950)
12,3,4000K,High,(0.29999980:0.82279600:0.63937660),(0.30062550:0.81895330:0.63937660),(0.23452010:0.82279600:0.63937660)
12,1,4000K,High,(0.68988270:0.67342420:0.51980440),(0.72972270:0.67342420:0.51980440),(0.68050270:0.63209300:0.51980440)
12,1,4000K,Low,(0.68437110:0.78605150:0.32889570),(0.69034190:0.78605150:0.32889570),(0.67524270:0.74066340:0.32889570)
12,2,4000K,Low,(0.01315668:0.91065310:0.43642620),(0.02152067:0.91065310:0.43642620),(0.00496184:0.86450310:0.43642620)
12,3,4000K,Low,(0.30401670:0.89559450:0.37348010),(0.31306730:0.84022810:0.37348010),(0.27866160:0.89559450:0.37348010)
12,3,7000K,Normal,(0.33143670:0.74392040:0.60835960),(0.34347720:0.73545460:0.60835960),(0.30724300:0.74392040:0.60835960)
12,2,7000K,Normal,(0.00096963:0.74386480:0.60822740),(0.00554534:0.74386480:0.60822740),(0.99539670:0.73953720:0.60822740)
12,1,7000K,Normal,(0.66753790:0.75253250:0.64016730),(0.67271880:0.75253250:0.64016730),(0.65737320:0.74859890:0.64016730)
12,3,7000K,High,(0.33140340:0.72701480:0.73917930),(0.35207690:0.71859640:0.73917930),(0.30286330:0.72701480:0.73917930)
12,2,7000K,High,(0.00099043:0.72751490:0.74053590),(0.00971912:0.72751490:0.74053590),(0.99171950:0.72319160:0.74053590)
12,1,7000K,High,(0.66754940:0.73562130:0.77535190),(0.67471310:0.73562130:0.77535190),(0.66414930:0.73172480:0.77535190)
13,1,10000K,Normal,(0.66287900:0.80235840:0.64016730),(0.67030280:0.78412400:0.64016730),(0.65906670:0.80235840:0.64016730)
13,2,10000K,Normal,(0.99219360:0.73102070:0.51378220),(0.00314998:0.69678120:0.51378220),(0.98609660:0.73102070:0.51378220)
13,3,10000K,Normal,(0.34478010:0.77104900:0.55262320),(0.34906240:0.77104900:0.55262320),(0.29147680:0.71809280:0.55262320)
13,1,10000K,High,(0.66279980:0.78543080:0.77535190),(0.67764900:0.76720790:0.77535190),(0.65732940:0.78543080:0.77535190)
13,2,10000K,High,(0.99198450:0.71035570:0.62316360),(0.00408841:0.67619260:0.62316360),(0.98396500:0.71035570:0.62316360)
13,3,10000K,High,(0.34506200:0.75156840:0.66966780),(0.34935160:0.75156840:0.66966780),(0.30594860:0.69867890:0.66966780)
13,1,10000K,Low,(0.66323870:0.84837980:0.45122350),(0.68995570:0.83093050:0.45122350),(0.65602270:0.84837980:0.45122350)
13,3,10000K,Low,(0.34378060:0.82388950:0.38847540),(0.35569970:0.82388950:0.38847540),(0.27207810:0.77224480:0.38847540)
13,2,10000K,Low,(0.99286160:0.78860340:0.36087690),(0.00407327:0.75482700:0.36087690),(0.98734160:0.78860340:0.36087690)
13,2,4000K,Normal,(0.01390361:0.86799530:0.63249030),(0.01860177:0.86799530:0.63249030),(0.00757506:0.83346710:0.63249030)
13,1,4000K,Normal,(0.68858720:0.70443380:0.43743180),(0.69563270:0.70443380:0.43743180),(0.68282510:0.67746510:0.43743180)
13,3,4000K,Normal,(0.30099010:0.84197260:0.52833680),(0.30957510:0.79139240:0.52833680),(0.27440110:0.84197260:0.52833680)
13,2,4000K,High,(0.01431303:0.85298870:0.77068950),(0.01642934:0.85298870:0.77068950),(0.01097589:0.83470540:0.77068950)
13,3,4000K,High,(0.29999980:0.82279600:0.63937660),(0.30603860:0.78714560:0.63937660),(0.27642570:0.82279600:0.63937660)
13,1,4000K,High,(0.68988270:0.67342420:0.51980440),(0.69605940:0.67342420:0.51980440),(0.68239500:0.64001780:0.51980440)
13,2,4000K,Low,(0.01315668:0.91065310:0.43642620),(0.01534898:0.91065310:0.43642620),(0.00757150:0.87868370:0.43642620)
13,1,4000K,Low,(0.68437110:0.78605150:0.32889570),(0.69821320:0.78605150:0.32889570),(0.67468050:0.73803880:0.32889570)
13,3,4000K,Low,(0.30401670:0.89559450:0.37348010),(0.31257010:0.84309180:0.37348010),(0.26252030:0.89559450:0.37348010)
13,2,7000K,Normal,(0.00096963:0.74386480:0.60822740),(0.00417404:0.74386480:0.60822740),(0.99826130:0.73953720:0.60822740)
13,1,7000K,Normal,(0.66753790:0.75253250:0.64016730),(0.68537680:0.75253250:0.64016730),(0.66593600:0.74859890:0.64016730)
13,3,7000K,Normal,(0.33143670:0.74392040:0.60835960),(0.33592420:0.73545460:0.60835960),(0.27509650:0.74392040:0.60835960)
13,3,7000K,High,(0.33140340:0.72701480:0.73917930),(0.33332980:0.71861160:0.73917930),(0.28619210:0.72701480:0.73917930)
13,1,7000K,High,(0.66754940:0.73562130:0.77535190),(0.68116160:0.73562130:0.77535190),(0.65914790:0.73172480:0.77535190)
13,2,7000K,High,(0.00099043:0.72751490:0.74053590),(0.00576374:0.72751490:0.74053590),(0.99023760:0.72319160:0.74053590)
13,1,7000K,Low,(0.66748540:0.79975370:0.45122350),(0.68657400:0.79975370:0.45122350),(0.65925500:0.79582490:0.45122350)
13,3,7000K,Low,(0.33151750:0.79114030:0.42362040),(0.33968230:0.78252080:0.42362040),(0.28255700:0.79114030:0.42362040)
13,2,7000K,Low,(0.00094315:0.78956430:0.42044790),(0.00550925:0.78956430:0.42044790),(0.99715320:0.78509620:0.42044790)
14,2,10000K,High,(0.99198450:0.71035570:0.62316360),(0.99773210:0.68552060:0.62316360),(0.98697190:0.71035570:0.62316360)
14,1,10000K,High,(0.66279980:0.78543080:0.77535190),(0.68334120:0.76720790:0.77535190),(0.65245130:0.78543080:0.77535190)
14,3,10000K,High,(0.34506200:0.75156840:0.66966780),(0.35235600:0.75156840:0.66966780),(0.28555990:0.69867890:0.66966780)
14,3,10000K,Low,(0.34378060:0.82388950:0.38847540),(0.34625200:0.82388950:0.38847540),(0.28545120:0.77224480:0.38847540)
14,1,10000K,Low,(0.66323870:0.84837980:0.45122350),(0.68507050:0.83093050:0.45122350),(0.65472830:0.84837980:0.45122350)
14,2,10000K,Low,(0.99286160:0.78860340:0.36087690),(0.99876110:0.76048000:0.36087690),(0.98226030:0.78860340:0.36087690)
14,2,4000K,Normal,(0.01390361:0.86799530:0.63249030),(0.02230176:0.86799530:0.63249030),(0.00679851:0.82941850:0.63249030)
14,3,4000K,Normal,(0.30099010:0.84197260:0.52833680),(0.31457170:0.76465730:0.52833680),(0.26596600:0.84197260:0.52833680)
14,1,4000K,Normal,(0.68858720:0.70443380:0.43743180),(0.70120840:0.70443380:0.43743180),(0.67742610:0.65400460:0.43743180)
14,1,4000K,High,(0.68988270:0.67342420:0.51980440),(0.70333130:0.67342420:0.51980440),(0.68580310:0.65480260:0.51980440)
14,3,4000K,High,(0.29999980:0.82279600:0.63937660),(0.31165210:0.75666910:0.63937660),(0.27487270:0.82279600:0.63937660)
14,2,4000K,High,(0.01431303:0.85298870:0.77068950),(0.01806284:0.85298870:0.77068950),(0.01038348:0.83154130:0.77068950)
14,1,4000K,Low,(0.68437110:0.78605150:0.32889570),(0.68840810:0.78605150:0.32889570),(0.67682750:0.74816360:0.32889570)
14,3,4000K,Low,(0.30401670:0.89559450:0.37348010),(0.32222710:0.79075370:0.37348010),(0.25964160:0.89559450:0.37348010)
14,2,4000K,Low,(0.01315668:0.91065310:0.43642620),(0.02119841:0.91065310:0.43642620),(0.00298153:0.85404420:0.43642620)
14,1,7000K,Normal,(0.66753790:0.75253250:0.64016730),(0.68495660:0.75253250:0.64016730),(0.66167550:0.74859890:0.64016730)
14,2,7000K,Normal,(0.00096963:0.74386480:0.60822740),(0.01639054:0.74386480:0.60822740),(0.99409420:0.73953720:0.60822740)
14,3,7000K,Normal,(0.33143670:0.74392040:0.60835960),(0.33556510:0.73545460:0.60835960),(0.27875430:0.74392040:0.60835960)
14,2,7000K,High,(0.00099043:0.72751490:0.74053590),(0.00605614:0.72751490:0.74053590),(0.99910580:0.72319160:0.74053590)
14,3,7000K,High,(0.33140340:0.72701480:0.73917930),(0.34011470:0.71859640:0.73917930),(0.27764290:0.72701480:0.73917930)
14,1,7000K,High,(0.66754940:0.73562130:0.77535190),(0.68742200:0.73562130:0.77535190),(0.66143180:0.73172480:0.77535190)
14,3,7000K,Low,(0.33151750:0.79114030:0.42362040),(0.34109970:0.78252080:0.42362040),(0.27204550:0.79114030:0.42362040)
14,2,7000K,Low,(0.00094315:0.78956430:0.42044790),(0.01557917:0.78956430:0.42044790),(0.99154670:0.78509620:0.42044790)
14,1,7000K,Low,(0.66748540:0.79975370:0.45122350),(0.68072800:0.79975370:0.45122350),(0.65622390:0.79582490:0.45122350)
14,1,10000K,Normal,(0.66287900:0.80235840:0.64016730),(0.68590070:0.78412400:0.64016730),(0.65712100:0.80235840:0.64016730)
